dist_id,state,schlev,agchrt,district,total_enroll_fy20,current_sped_exp_fy20,total_enroll_fy21,current_sped_exp_fy21,total_enroll_fy22,current_sped_exp_fy22,total_enroll_fy23,current_sped_exp_fy23,state_rev_v92_adjusted_fy20,federal_rev_v92_adjusted_fy20,local_rev_v92_adjusted_fy20,state_local_federal_rev_v92_adjusted_fy20,state_sped_rev_fy20,federal_sped_rev_fy20,state_fed_sped_rev_fy20,state_rev_v92_adjusted_fy21,federal_rev_v92_adjusted_fy21,local_rev_v92_adjusted_fy21,state_local_federal_rev_v92_adjusted_fy21,state_sped_rev_fy21,federal_sped_rev_fy21,state_fed_sped_rev_fy21,state_rev_v92_adjusted_fy22,federal_rev_v92_adjusted_fy22,local_rev_v92_adjusted_fy22,state_local_federal_rev_v92_adjusted_fy22,state_sped_rev_fy22,federal_sped_rev_fy22,state_fed_sped_rev_fy22,state_rev_v92_adjusted_fy23,federal_rev_v92_adjusted_fy23,local_rev_v92_adjusted_fy23,state_local_federal_rev_v92_adjusted_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy20,sped_enroll_fy21,sped_enroll_fy22,sped_enroll_fy23
0625740,California,1,3,Moraga Elementary,1852,3053000,1763,3976000,1719,4725000,1735,4735000,6550000,428000,19683000,26661000,0,358000,358000,7404000,1100000,18643000,27147000,0,356000,356000,7256000,788000,20343000,28387000,0,450000,450000,10100000,750000,21498000,32348000,74000,375000,449000,233,203,189,188
0625770,California,1,3,Moreland,4675,10585000,4356,11195000,4037,12083000,3930,13347000,20873000,2442000,50796000,74111000,0,1008000,1008000,25506000,5055000,50379000,80940000,0,880000,880000,29163000,6580000,49444000,85187000,0,1070000,1070000,34383000,5797000,58626000,98806000,499000,1297000,1796000,540,487,473,531
0625800,California,3,2,Moreno Valley Unified,32255,71170000,31546,84515000,31563,94756000,31619,104291000,374483000,44045000,88823000,507351000,19479000,6758000,26237000,380901000,81281000,81681000,543863000,22275000,6756000,29031000,423858000,80105000,99124000,603087000,24751000,6928000,31679000,546715000,79767000,115639000,742121000,31080000,8562000,39642000,4701,4417,4452,4580
0625830,California,3,3,Morgan Hill Unified,8352,13013000,8226,16624000,7990,18313000,7995,21226000,23699000,7336000,89352000,120387000,16000,1808000,1824000,33720000,12288000,74233000,120241000,25000,1829000,1854000,45697000,11193000,72971000,129861000,360000,1896000,2256000,52245000,14167000,105049000,171461000,364000,2306000,2670000,1117,1085,1078,1047
0625860,California,3,3,Morongo Unified,8478,16628000,8002,19111000,7578,20064000,7407,21401000,93989000,13829000,14634000,122452000,4762000,2216000,6978000,95670000,26387000,20505000,142562000,5393000,2083000,7476000,105093000,22474000,16899000,144466000,6029000,2559000,8588000,128372000,30335000,20817000,179524000,6887000,2582000,9469000,1269,1228,1199,1145
0625980,California,1,3,Mother Lode Union Elementary,1024,1314000,931,1472000,873,1652000,840,2050000,6753000,572000,5499000,12824000,0,73000,73000,6339000,1427000,5427000,13193000,0,77000,77000,7184000,2003000,6029000,15216000,0,76000,76000,9283000,1817000,6532000,17632000,90000,156000,246000,157,129,117,137
0626100,California,3,3,Mountain Empire Unified,1711,3824000,1671,5430000,1746,5269000,1823,5814000,16904000,2924000,10262000,30090000,0,512000,512000,17405000,6132000,10693000,34230000,0,468000,468000,20452000,5854000,11813000,38119000,0,523000,523000,25668000,5980000,11742000,43390000,133000,502000,635000,354,371,351,348
0626190,California,1,3,Mountain View Elementary,6122,10387000,5783,10987000,5330,12992000,4937,14165000,72369000,10708000,24193000,107270000,0,1312000,1312000,70653000,18969000,26869000,116491000,0,550000,550000,83159000,19981000,26068000,129208000,0,1970000,1970000,101508000,21997000,33454000,156959000,308000,1268000,1576000,815,656,717,693
0626220,California,1,3,Mountain View Elementary,2538,3359000,2625,3909000,2707,4689000,3035,6093000,18712000,1363000,18421000,38496000,0,449000,449000,17863000,3343000,17043000,38249000,0,456000,456000,22150000,3985000,20672000,46807000,0,508000,508000,32447000,4543000,23068000,60058000,247000,659000,906000,361,323,337,379
0626280,California,1,3,Mountain View Whisman,5074,11760000,4748,14732000,4507,15951000,4509,17418000,13311000,3540000,88914000,105765000,0,1247000,1247000,14147000,6948000,101405000,122500000,0,1059000,1059000,17271000,6005000,104904000,128180000,0,1110000,1110000,23813000,5332000,122192000,151337000,369000,1566000,1935000,546,493,475,509
