dist_id,state,district,total_enroll,tcurelsc,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,state_rev_v92_adjusted,federal_rev_v92_adjusted,sped_enroll,sped_exp_pp,state_sped_rev_pp,federal_sped_rev_pp,state_fed_sped_rev_pp,sped_local_pp_obligation,state_sped_pct,federal_sped_pct,local_sped_pct,state_rev_no_sped,federal_rev_no_sped,current_exp_no_sped,state_no_sped_pct,federal_no_sped_pct,local_no_sped_pct,disproportionate,fy
0101690,Alabama,Guntersville City,1853,19804000,1374000,0,356000,356000,11946000,1584000,137,10029.197080291971,0,2598.5401459854015,2598.5401459854015,7430.656934306569,0,0.2590975254730713,0.7409024745269287,11946000,1228000,18430000,0.648182311448725,0.06663049376017363,0.28518719479110144,TRUE,fy20
0101710,Alabama,Hale County,2473,23683000,1803000,0,652000,652000,17634000,3595000,198,9106.060606060606,0,3292.929292929293,3292.929292929293,5813.131313131313,0,0.3616195230171936,0.6383804769828064,17634000,2943000,21880000,0.8059414990859232,0.13450639853747715,0.05955210237659969,TRUE,fy20
0101720,Alabama,Haleyville City,1614,17192000,1754000,0,591000,591000,10687000,2698000,201,8726.36815920398,0,2940.2985074626868,2940.2985074626868,5786.0696517412925,0,0.3369441277080958,0.6630558722919042,10687000,2107000,15438000,0.6922528824977329,0.13648140950900375,0.17126570799326338,TRUE,fy20
0101730,Alabama,Hartselle City,3519,35193000,3546000,0,704000,704000,23496000,2587000,500,7092,0,1408,1408,5684,0,0.1985335589396503,0.8014664410603497,23496000,1883000,31647000,0.7424400417101147,0.059500110595001106,0.19805984769488422,TRUE,fy20
0101740,Alabama,Henry County,2528,23513000,2532000,0,632000,632000,17208000,2944000,331,7649.546827794562,0,1909.3655589123866,1909.3655589123866,5740.181268882176,0,0.24960505529225907,0.7503949447077409,17208000,2312000,20981000,0.8201706305705162,0.11019493827748916,0.06963443115199464,TRUE,fy20
0101760,Alabama,Homewood City,4217,53918000,5727000,0,822000,822000,22876000,3127000,316,18123.41772151899,0,2601.26582278481,2601.26582278481,15522.151898734179,0,0.143530644316396,0.856469355683604,22876000,2305000,48191000,0.4746944450208545,0.04783050777116059,0.47747504720798484,TRUE,fy20
0101770,Alabama,Houston County,6479,57191000,7022000,0,1507000,1507000,39609000,6017000,819,8573.870573870574,0,1840.04884004884,1840.04884004884,6733.821733821734,0,0.21461122187410994,0.78538877812589,39609000,4510000,50169000,0.7895114512946242,0.08989615100958759,0.12059239769578822,TRUE,fy20
0101800,Alabama,Huntsville City,23882,238904000,25850000,0,5488000,5488000,131523000,24330000,3151,8203.744842907014,0,1741.6693113297365,1741.6693113297365,6462.075531577277,0,0.2123017408123791,0.7876982591876209,131523000,18842000,213054000,0.6173223689768791,0.08843767307818676,0.2942399579449342,TRUE,fy20
0101830,Alabama,Jackson County,5188,54603000,4024000,0,1307000,1307000,37082000,7311000,653,6162.327718223583,0,2001.531393568147,2001.531393568147,4160.796324655436,0,0.32480119284294234,0.6751988071570576,37082000,6004000,50579000,0.733150121591965,0.11870539156566955,0.14814448684236542,TRUE,fy20
0101860,Alabama,Jacksonville City,1639,15402000,1784000,0,340000,340000,10418000,1920000,214,8336.44859813084,0,1588.785046728972,1588.785046728972,6747.663551401869,0,0.1905829596412556,0.8094170403587444,10418000,1580000,13618000,0.7650168894110736,0.11602291085328242,0.11896019973564398,TRUE,fy20
