state,district,dist_id,sped_enroll_fy22
ARIZONA,"Franklin Phonetic Primary School, Inc. (92596)",0400914,23
ARIZONA,Fredonia-Moccasin Unified District (4195),0403080,29
ARIZONA,"Freedom Academy, Inc. (89506)",0400755,31
ARIZONA,Freedom Preparatory Academy (1000979),0400999,18
ARIZONA,"Friendly House, Inc. (4303)",0400102,40
ARIZONA,Gadsden Elementary District (4505),0403240,546
ARIZONA,"GAR, LLC dba Student Choice High School (78997)",0400273,158
ARIZONA,"Gem Charter School, Inc. (6372)",0400145,0
ARIZONA,"Genesis Program, Inc. (4332)",0400124,0
ARIZONA,"George Gervin Youth Center, Inc. (90884)",0400876,18
ARIZONA,Gila Bend Unified District (4238),0403310,0
ARIZONA,Gilbert Unified District (4239),0403400,4205
ARIZONA,Glendale Elementary District (4271),0403420,1288
ARIZONA,Glendale Preparatory Academy (89829),0400760,27
ARIZONA,Glendale Union High School District (4285),0403450,2097
ARIZONA,Globe Unified District (4208),0403500,183
ARIZONA,Grand Canyon Unified District (4194),0403550,0
ARIZONA,Great Expectations Academy (10974),0400205,0
ARIZONA,"Griffin Foundation, Inc. The (79500)",0400343,13
ARIZONA,Ha:san Educational Services (6369),0400147,30
ARIZONA,Hackberry School District (4371),0403660,10
ARIZONA,Happy Valley East (90906),0400864,60
ARIZONA,"Happy Valley School, Inc. (79081)",0400406,32
ARIZONA,"Harvest Power Community Development Group, Inc. (79501)",0400282,0
ARIZONA,"Haven Montessori Children's House, Inc. (89951)",0400782,9
ARIZONA,Hayden-Winkelman Unified District (4212),0403730,0
ARIZONA,Heber-Overgaard Unified District (4392),0400026,46
ARIZONA,"Heritage Academy Gateway, Inc. (92519)",0400911,47
ARIZONA,"Heritage Academy Laveen, Inc. (92520)",0400926,35
ARIZONA,"Heritage Academy, Inc. (4336)",0400053,99
ARIZONA,Heritage Elementary School (81076),0400649,88
ARIZONA,Hermosa Montessori Charter School (4426),0400115,38
ARIZONA,Highland Free School (79061),0400275,5
ARIZONA,Highland Prep (92982),0400966,35
ARIZONA,Higley Unified School District (4248),0403780,1722
ARIZONA,Hirsch Academy A Challenge Foundation (91275),0400893,18
ARIZONA,Holbrook Unified District (4389),0403820,199
ARIZONA,"Horizon Community Learning Center, Inc. (79264)",0400225,48
ARIZONA,"Horizon Community Learning Center, Inc. (92620)",0400921,52
ARIZONA,Humanities and Sciences Academy of the United Stat (4337),0400108,18
ARIZONA,Humboldt Unified District (4469),0403870,710
ARIZONA,Hyder Elementary District (4502),0403900,19
ARIZONA,"Imagine Avondale Elementary, Inc. (89784)",0400780,35
ARIZONA,"Imagine Avondale Middle, Inc. (90162)",0400802,23
ARIZONA,"Imagine Camelback Middle, Inc. (89561)",0400756,24
ARIZONA,"Imagine Charter Elementary at Camelback, Inc. (88365)",0400445,0
ARIZONA,"Imagine Charter Elementary at Desert West, Inc. (88367)",0400438,29
ARIZONA,"Imagine Coolidge Elementary, Inc. (89786)",0400766,50
ARIZONA,"Imagine Desert West Middle, Inc. (89563)",0400754,41
ARIZONA,"Imagine Middle at East Mesa, Inc. (88369)",0400442,17
ARIZONA,"Imagine Middle at Surprise, Inc. (88372)",0400441,32
ARIZONA,"Imagine Prep Coolidge, Inc. (90034)",0400769,66
ARIZONA,"Imagine Prep Superstition, Inc. (89788)",0400783,39
ARIZONA,"Imagine Prep Surprise, Inc. (89790)",0400770,72
ARIZONA,"Imagine Superstition Middle, Inc. (90160)",0400810,7
