fy,state,n_districts,sped_enroll,current_sped_exp,state_sped_rev,federal_sped_rev,state_fed_sped_rev,current_sped_exp_adjusted,state_sped_rev_adjusted,federal_sped_rev_adjusted,state_fed_sped_rev_adjusted,n_disproportionate,total_sped_pp_expenditure,state_fed_sped_pp_funding,local_sped_pp_obligation,total_sped_pp_expenditure_adjusted,state_fed_sped_pp_funding_adjusted,local_sped_pp_obligation_adjusted,pct_disproportionate
fy22,Washington,236,134737,2469722000,1733833000,259373000,1993206000,2624376819.186243,1842406203.4270027,275615024.1698433,2118021227.5968447,144,18329.946488343958,14793.308445341665,3536.6380430022928,19477.77387938163,15719.670377081608,3758.103502300024,0.6101694915254238
fy22,West Virginia,53,42005,439593000,5684000,77905000,83589000,467120460.95736206,6039933.984575836,82783437.20414858,88823371.18872444,53,10465.254136412332,1989.9773836448041,8475.276752767528,11120.59185709706,2114.590434203653,9006.001422893409,1
fy23,Alabama,131,93256,875977000,1081000,187346000,188427000,875977000,1081000,187346000,188427000,131,9393.25083640731,2020.5348717508793,7372.71596465643,9393.25083640731,2020.5348717508793,7372.71596465643,1
fy23,Arkansas,233,66846,508731000,324000000,127827000,451827000,508731000,324000000,127827000,451827000,39,7610.492774436765,6759.222690961314,851.2700834754514,7610.492774436765,6759.222690961314,851.2700834754514,0.16738197424892703
fy23,California,719,695764,15659682000,2902399000,1596871000,4499270000,15659682000,2902399000,1596871000,4499270000,703,22507.174846643404,6466.661109226692,16040.513737416712,22507.174846643404,6466.661109226692,16040.513737416712,0.9777468706536857
fy23,Connecticut,161,81613,2398944000,527667000,156494000,684161000,2398944000,527667000,156494000,684161000,151,29394.140639358924,8382.990454952029,21011.150184406895,29394.140639358924,8382.990454952029,21011.150184406895,0.937888198757764
fy23,Georgia,169,213236,2834965000,1654634000,368216000,2022850000,2834965000,1654634000,368216000,2022850000,24,13294.964264945882,9486.437562137726,3808.526702808156,13294.964264945882,9486.437562137726,3808.526702808156,0.14201183431952663
fy23,Idaho,88,32086,316633000,4397000,58453000,62850000,316633000,4397000,58453000,62850000,88,9868.26030044256,1958.7982297575265,7909.462070685034,9868.26030044256,1958.7982297575265,7909.462070685034,1
fy23,Iowa,281,64661,968253000,2487000,26601000,29088000,968253000,2487000,26601000,29088000,281,14974.2967167226,449.8538531727007,14524.442863549899,14974.2967167226,449.8538531727007,14524.442863549899,1
fy23,Maine,128,21193,385002000,2959000,37108000,40067000,385002000,2959000,37108000,40067000,127,18166.470060869156,1890.5770773368565,16275.8929835323,18166.470060869156,1890.5770773368565,16275.8929835323,0.9921875
fy23,Maryland,24,103287,1798677000,420830000,250517000,671347000,1798677000,420830000,250517000,671347000,23,17414.359987220076,6499.82088743017,10914.539099789905,17414.359987220076,6499.82088743017,10914.539099789905,0.9583333333333334
fy23,Mississippi,136,64693,542000000,4291000,133969000,138260000,542000000,4291000,133969000,138260000,136,8378.031626296508,2137.1709458519467,6240.860680444561,8378.031626296508,2137.1709458519467,6240.860680444561,1
fy23,Missouri,415,99765,1289598000,189909000,141546000,331455000,1289598000,189909000,141546000,331455000,397,12926.356938806195,3322.357540219516,9603.999398586679,12926.356938806195,3322.357540219516,9603.999398586679,0.9566265060240964
fy23,Montana,221,18126,165137000,36184000,27365000,63549000,165137000,36184000,27365000,63549000,202,9110.504248041487,3505.958291956306,5604.545956085181,9110.504248041487,3505.958291956306,5604.545956085181,0.9140271493212669
fy23,Nebraska,197,49152,653030000,220947000,71526000,292473000,653030000,220947000,71526000,292473000,42,13285.929361979166,5950.37841796875,7335.550944010416,13285.929361979166,5950.37841796875,7335.550944010416,0.2131979695431472
fy23,Nevada,16,53571,701820000,568229000,79692000,647921000,701820000,568229000,79692000,647921000,10,13100.744805958448,12094.622090310057,1006.122715648391,13100.744805958448,12094.622090310057,1006.122715648391,0.625
fy23,New Jersey,509,217980,4398331000,1451721000,389068000,1840789000,4398331000,1451721000,389068000,1840789000,283,20177.681438664098,8444.760987246536,11732.920451417562,20177.681438664098,8444.760987246536,11732.920451417562,0.555992141453831
fy23,North Dakota,98,14336,217766000,7069000,24407000,31476000,217766000,7069000,24407000,31476000,95,15190.150669642857,2195.5915178571427,12994.559151785714,15190.150669642857,2195.5915178571427,12994.559151785714,0.9693877551020408
fy23,South Dakota,111,20075,258397000,70578000,37468000,108046000,258397000,70578000,37468000,108046000,108,12871.581569115815,5382.11706102117,7489.464508094645,12871.581569115815,5382.11706102117,7489.464508094645,0.972972972972973
fy23,Utah,39,72124,585821000,408148000,107907000,516055000,585821000,408148000,107907000,516055000,5,8122.41417558649,7155.107869779824,967.3063058066664,8122.41417558649,7155.107869779824,967.3063058066664,0.1282051282051282
fy23,Virginia,129,164910,3013134000,554652000,313413000,868065000,3013134000,554652000,313413000,868065000,125,18271.384391486266,5263.871202474077,13007.513189012188,18271.384391486266,5263.871202474077,13007.513189012188,0.9689922480620154
fy23,Washington,240,138367,2739573000,1928418000,260472000,2188890000,2739573000,1928418000,260472000,2188890000,137,19799.323538126864,15819.451169715323,3979.872368411541,19799.323538126864,15819.451169715323,3979.872368411541,0.5708333333333333
fy23,West Virginia,54,42893,474255000,5313000,82924000,88237000,474255000,5313000,82924000,88237000,54,11056.699228312313,2057.142191033502,8999.55703727881,11056.699228312313,2057.142191033502,8999.55703727881,1
