dist_id,state,schlev,agchrt,district,current_sped_exp_fy20_adjusted,state_sped_rev_fy20_adjusted,federal_sped_rev_fy20_adjusted,state_fed_sped_rev_fy20_adjusted,sped_enroll_fy20,current_sped_exp_fy23,state_sped_rev_fy23,federal_sped_rev_fy23,state_fed_sped_rev_fy23,sped_enroll_fy23,state_sped_pp_funding_fy20,federal_sped_pp_funding_fy20,state_fed_sped_pp_funding_fy20,total_sped_pp_expenditure_fy20,state_sped_pp_funding_fy23,federal_sped_pp_funding_fy23,state_fed_sped_pp_funding_fy23,total_sped_pp_expenditure_fy23,local_sped_pp_obligation_fy20,local_sped_pp_obligation_fy23,local_sped_pp_obligation_diff
0101830,Alabama,3,3,Jackson County,4688157.176,0,1522719.043,1522719.043,653,5258000,208000,1266000,1474000,732,0,2331.8821485451763,2331.8821485451763,7179.413745788667,284.1530054644809,1729.5081967213114,2013.6612021857923,7183.060109289618,4847.531597243491,5169.398907103825,321.867309860334
0101860,Alabama,3,3,Jacksonville City,2078447.416,0,396116.66,396116.66,214,2196000,53000,412000,465000,252,0,1851.012429906542,1851.012429906542,9712.371102803738,210.31746031746033,1634.920634920635,1845.2380952380952,8714.285714285714,7861.358672897196,6869.047619047618,-992.3110538495775
0101890,Alabama,3,3,Jasper City,2848544.805,0,739806.115,739806.115,375,2581000,0,617000,617000,380,0,1972.8163066666666,1972.8163066666666,7596.11948,0,1623.6842105263158,1623.6842105263158,6792.105263157895,5623.303173333334,5168.421052631579,-454.8821207017545
0101920,Alabama,3,3,Jefferson County,54586040.797,0,12781752.579,12781752.579,5185,49229000,0,11205000,11205000,4877,0,2465.1403238187077,2465.1403238187077,10527.683856702024,0,2297.5189665778144,2297.5189665778144,10094.115234775476,8062.543532883316,7796.596268197662,-265.9472646856548
0101950,Alabama,3,3,Lamar County,2037670.701,0,588349.745,588349.745,380,2399000,0,550000,550000,364,0,1548.2888026315788,1548.2888026315788,5362.291318421052,0,1510.989010989011,1510.989010989011,6590.659340659341,3814.0025157894734,5079.67032967033,1265.6678138808566
0101980,Alabama,3,3,Lanett City,1062524.688,0,311068.083,311068.083,122,1253000,0,293000,293000,119,0,2549.7383852459016,2549.7383852459016,8709.218754098361,0,2462.18487394958,2462.18487394958,10529.411764705883,6159.48036885246,8067.226890756303,1907.7465219038431
0102010,Alabama,3,3,Lauderdale County,8652818.923,0,2055146.436,2055146.436,1068,7751000,0,1667000,1667000,1131,0,1924.294415730337,1924.294415730337,8101.890377340825,0,1473.9168877099912,1473.9168877099912,6853.227232537577,6177.595961610487,5379.310344827586,-798.2856167829013
0102040,Alabama,3,3,Lawrence County,5227574.863,0,1436505.417,1436505.417,767,5165000,0,1351000,1351000,820,0,1872.8884185136897,1872.8884185136897,6815.612598435463,0,1647.560975609756,1647.560975609756,6298.780487804878,4942.724179921774,4651.219512195123,-291.50466772665095
0102070,Alabama,3,3,Lee County,14076122.018,0,2417476.675,2417476.675,1375,14700000,0,2148000,2148000,1394,0,1758.1648545454543,1758.1648545454543,10237.179649454545,0,1540.8895265423243,1540.8895265423243,10545.19368723099,8479.014794909092,9004.304160688665,525.2893657795739
0102100,Alabama,3,3,Limestone County,11616703.579,0,2784467.11,2784467.11,1273,13239000,0,3278000,3278000,1968,0,2187.3268735271013,2187.3268735271013,9125.454500392772,0,1665.6504065040651,1665.6504065040651,6727.134146341464,6938.127626865671,5061.483739837398,-1876.6438870282727
0102190,Alabama,3,3,Macon County,2123884.327,0,645437.146,645437.146,176,2129000,0,424000,424000,187,0,3667.256511363636,3667.256511363636,12067.524585227273,0,2267.379679144385,2267.379679144385,11385.026737967915,8400.268073863637,9117.64705882353,717.3789849598925
0102220,Alabama,3,3,Madison County,23241562.501,0,4261749.242,4261749.242,2404,24356000,0,4086000,4086000,2433,0,1772.774227121464,1772.774227121464,9667.871256655573,0,1679.4081381011097,1679.4081381011097,10010.68639539663,7895.097029534109,8331.27825729552,436.1812277614108
0102250,Alabama,3,3,Marengo County,1162718.902,0,350679.749,350679.749,148,1179000,0,306000,306000,139,0,2369.457763513514,2369.457763513514,7856.208797297298,0,2201.438848920863,2201.438848920863,8482.01438848921,5486.751033783784,6280.575539568346,793.8245057845625
0102310,Alabama,3,3,Marion County,2843884.609,0,750291.556,750291.556,449,3136000,0,1027000,1027000,436,0,1671.0279643652561,1671.0279643652561,6333.818728285079,0,2355.5045871559632,2355.5045871559632,7192.660550458716,4662.790763919822,4837.155963302753,174.36519938293077
